version:v1.0
Název [displayName],Uživatelské jméno [userPrincipalName],Počáteční heslo [passwordProfile],Zablokovat přihlášení [accountEnabled],Jméno [givenName],Příjmení [surname],Název úlohy [jobTitle],Oddělení [department],Místo využívání [usageLocation],Ulice [streetAddress],Kraj [state],Země nebo oblast [country],Kancelář [physicalDeliveryOfficeName],Město [city],PSČ [postalCode],Telefon do kanceláře [telephoneNumber],Mobilní telefon [mobile]
Lenka Hrdličková,lenka_hrdlickova@mblab.xyz,O*Z7867#G54,Ne,Lenka,Hrdličková,Line installer,Marketing,CZ,Dobrá 53,Středočeský kraj,Czech Republic,,Praha,142 00,,728 888 999
Eliška Mešířová,eliska_mesirova@mblab.xyz,B*J6798#T17,Ne,Eliška,Mešířová,Lathe and turning machine tool operator,,CZ,,,Czech Republic,,,,,725 944 597
Lubomír Polák,lubomir_polak@mblab.xyz,F*F4228#S20,Ne,Lubomír,Polák,Sound engineering technician,,CZ,,,Czech Republic,,,,,312 080 265
Ladislav Srba,ladislav_srba@mblab.xyz,N*M7953#V61,Ne,Ladislav,Srba,Semiconductor assembler,,CZ,,,Czech Republic,,,,,391 832 741
Vladimír Příhoda,vladimir_prihoda@mblab.xyz,J*V1116#X97,Ne,Vladimír,Příhoda,Cadet,,CZ,,,Czech Republic,,,,,499 538 921
Anna Dvořáková,anna_dvorakova@mblab.xyz,B*D9876#T64,Ne,Anna,Dvořáková,News reporter,,CZ,,,Czech Republic,,,,,605 482 635
Marie Cachová,marie_cachova@mblab.xyz,W*K8683#W48,Ne,Marie,Cachová,HVACR technician,,CZ,,,Czech Republic,,,,,726 823 679
Vlastimil Hrudka,vlastimil_hrudka@mblab.xyz,H*B4685#L38,Ne,Vlastimil,Hrudka,Lead abatement worker,,CZ,,,Czech Republic,,,,,608 000 433
Lucie Ferná,lucie_ferna@mblab.xyz,G*R7739#W16,Ne,Lucie,Ferná,Rodbuster,,CZ,,,Czech Republic,,,,,736 342 521
Hana Hejkalová,hana_hejkalova@mblab.xyz,Y*O3774#X96,Ne,Hana,Hejkalová,Administrator,,CZ,,,Czech Republic,,,,,497 430 238
Jiří Kment,jiri_kment@mblab.xyz,A*E1181#Q90,Ne,Jiří,Kment,Facility manager,,CZ,,,Czech Republic,,,,,607 416 509
Lenka Neumannová,lenka_neumannova@mblab.xyz,F*Z8518#M71,Ne,Lenka,Neumannová,Heat treating equipment setter,,CZ,,,Czech Republic,,,,,514 466 208
Jan Prokop,jan_prokop@mblab.xyz,A*I3446#Z62,Ne,Jan,Prokop,Smoke jumper,,CZ,,,Czech Republic,,,,,608 585 340
Jozef Lukáš,jozef_lukas@mblab.xyz,N*I8711#D32,Ne,Jozef,Lukáš,Actuarie,,CZ,,,Czech Republic,,,,,568 889 953
Marie Slunečková,marie_sluneckova@mblab.xyz,N*G6545#S12,Ne,Marie,Slunečková,Expediting clerk,,CZ,,,Czech Republic,,,,,461 939 795
